fid,OBJECTID,DISTRICT,LEGAL_DESC,AVGAGE,UTMX,UTMY,Acres,Owner,Srvy_2015,Srvy_2013,Srvy_2014,Srvy_2016,Srvy_2017,Srvy_2018,Srvy_2019,Cut_Yr,Burned,layer,path,Site_ID,treatment,Srvy_13_19,Srvy_23,Srvy_24
86,0,Snowpeak,12S-02E-08,62,533006,4930880,92.7975,WY,1,0,0,1,0,1,1,2019,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20039,HU,1,1,1
90,0,Snowpeak,11S-01E-3,64,526554,4942640,39.7789,BLM,0,0,0,1,0,1,1,0,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,29889,UU,1,1,1
92,2707,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10471,BS,0,0,1
94,0,Snowpeak,10S-01E-33,55,524040,4945400,53.5431,BLM,1,0,0,1,0,1,1,0,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,29121,UU,1,1,1
95,0,Snowpeak,10S-01E-33,55,524885,4944480,47.3029,BLM,0,0,0,1,0,1,1,0,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,29122,UU,1,1,1
96,0,Snowpeak,10S-01E-33,55,523871,4944340,49.6697,BLM,0,0,0,1,0,1,1,0,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,29123,UU,1,1,1
103,0,Clackamas,06S-02E-29,74,534103,4983470,319.623,BLM,0,0,0,1,0,1,1,0,Yes,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,15562,BU,1,1,1
106,0,Clackamas,06S-02E-05,104,532889,4991870,47.7408,BLM,0,0,0,1,0,1,1,0,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,12239,UU,1,1,1
110,0,Clackamas,04S-04E-32,56,552138,5002660,72.2961,PBTF,1,0,0,1,0,1,1,2017,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,33689,HU,1,1,1
114,0,Clackamas,05S-04E-17,134,550980,4998670,57.6971,BLM,0,0,0,1,0,1,1,0,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,10439,UU,1,1,1
